Processor,Simulation_Number,Benchmark_Score
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),47,405.59
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),48,405.78
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),49,406.22
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),50,405.66
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),51,405.34
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),52,406.09
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),53,406.09
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),54,405.73
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),55,405.16
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),56,404.98
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),57,404.20
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),58,405.34
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),59,404.51
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),60,404.21
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),61,406.06
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),62,405.67
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),63,406.43
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),64,406.36
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),65,404.96
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),66,406.22
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),67,405.10
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),68,404.67
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),69,405.32
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),70,405.51
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),71,404.64
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),72,405.00
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),73,405.57
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),74,404.12
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),75,405.56
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),76,404.58
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),77,405.62
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),78,403.75
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),79,405.18
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),80,404.22
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),81,406.20
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),82,405.05
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),83,406.24
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),84,405.69
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),85,405.18
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),86,405.80
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),87,405.11
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),88,405.45
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),89,405.57
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),90,405.77
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),91,406.22
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),92,406.37
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),93,405.38
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),94,404.41
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),95,405.48
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),96,404.92
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),97,403.86
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),98,405.52
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),99,405.46
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),100,404.69
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),101,406.10
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),102,405.73
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),103,405.90
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),104,405.28
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),105,405.88
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),106,405.37
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),107,404.83
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),108,405.93
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),109,404.94
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),110,406.10
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),111,403.83
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),112,405.81
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),113,404.47
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),114,404.91
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),115,404.72
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),116,404.59
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),117,404.93
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),118,405.21
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),119,404.55
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),120,404.95
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),121,406.10
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),122,404.93
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),123,406.02
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),124,406.20
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),125,405.27
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),126,406.43
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),127,404.02
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),128,405.89
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),129,405.04
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),130,405.17
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),131,404.72
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),132,404.41
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),133,404.96
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),134,405.53
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),135,406.61
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),136,405.68
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),137,405.07
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),138,405.17
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),139,404.84
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),140,404.52
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),141,404.84
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),142,404.12
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),143,404.40
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),144,405.55
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),145,405.42
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),146,404.45
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),147,404.74
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),148,404.43
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),149,404.45
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),150,405.45
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),151,405.69
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),152,405.45
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),153,405.19
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),154,406.38
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),155,405.36
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),156,404.84
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),157,404.83
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),158,404.53
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),159,405.18
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),160,406.02
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),161,405.44
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),162,405.56
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),163,403.99
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),164,406.72
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),165,406.09
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),166,406.44
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),167,405.26
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),168,405.31
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),169,404.88
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),170,405.89
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),171,404.54
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),172,404.89
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),173,405.75
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),174,405.37
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),175,405.20
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),176,404.73
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),177,404.38
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),178,404.92
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),179,403.77
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),180,404.32
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),181,405.72
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),182,406.42
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),183,406.20
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),184,406.25
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),185,404.99
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),186,406.40
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),187,405.29
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),188,404.62
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),189,406.55
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),190,404.72
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),191,405.14
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),192,404.76
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),193,405.64
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),194,405.35
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),195,405.13
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),196,405.22
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),197,404.60
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),198,406.21
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),199,405.58
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),200,404.42
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),201,405.02
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),202,404.91
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),203,405.80
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),204,403.67
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),205,403.96
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),206,405.33
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),207,405.45
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),208,405.92
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),209,405.30
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),210,405.58
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),211,406.11
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),212,405.94
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),213,405.09
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),214,405.16
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),215,405.40
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),216,404.38
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),217,404.40
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),218,405.12
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),219,405.52
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),220,405.44
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),221,405.36
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),222,405.33
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),223,405.77
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),224,405.52
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),225,405.83
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),226,404.83
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),227,405.85
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),228,405.48
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),229,405.59
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),230,406.01
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),231,405.03
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),232,406.44
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),233,405.54
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),234,405.57
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),235,405.44
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),236,406.07
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),237,405.58
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),238,405.64
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),239,405.74
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),240,405.33
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),241,405.38
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),242,405.81
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),243,405.09
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),244,405.12
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),245,404.76
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),246,404.90
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),247,405.64
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),248,403.93
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),249,404.29
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),250,404.69
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),251,404.51
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),252,404.42
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),253,406.01
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),254,404.76
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),255,405.35
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),256,404.98
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),257,403.91
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),258,405.50
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),259,405.03
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),260,405.15
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),261,406.30
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),262,406.34
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),263,405.26
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),264,404.77
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),265,405.74
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),266,406.01
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),267,406.60
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),268,404.91
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),269,405.39
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),270,405.69
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),271,405.14
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),272,405.63
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),273,405.51
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),274,405.13
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),275,404.97
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),276,405.61
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),277,405.64
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),278,406.05
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),279,403.67
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),280,406.44
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),281,404.10
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),282,405.20
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),283,405.75
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),284,405.12
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),285,404.71
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),286,404.12
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),287,404.97
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),288,406.39
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),289,405.36
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),290,405.72
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),291,405.89
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),292,404.99
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),293,404.56
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),294,404.61
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),295,405.52
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),296,405.48
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),297,405.15
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),298,405.90
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),299,405.05
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),300,404.61
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),301,406.18
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),302,406.09
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),303,405.00
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),304,406.86
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),305,404.31
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),306,406.30
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),307,404.94
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),308,405.40
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),309,404.86
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),310,404.88
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),311,406.13
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),312,404.71
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),313,406.17
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),314,406.46
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),315,404.83
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),316,405.04
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),317,405.93
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),318,404.99
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),319,405.96
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),320,405.84
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),321,405.31
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),322,406.60
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),323,406.21
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),324,405.23
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),325,405.58
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),326,405.69
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),327,406.50
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),328,406.07
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),329,406.73
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),330,405.34
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),331,405.99
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),332,406.00
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),333,405.09
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),334,406.22
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),335,405.30
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),336,405.43
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),337,405.73
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),338,404.70
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),339,406.09
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),340,404.53
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),341,406.33
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),342,405.21
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),343,405.34
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),344,404.77
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),345,405.71
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),346,404.26
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),347,404.99
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),348,406.36
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),349,405.23
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),350,405.51
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),351,406.58
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),352,404.70
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),353,405.64
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),354,404.57
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),355,403.92
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),356,405.85
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),357,405.19
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),358,405.41
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),359,405.52
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),360,404.51
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),361,405.47
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),362,404.84
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),363,405.59
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),364,404.56
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),365,405.36
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),366,405.86
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),367,405.00
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),368,405.26
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),369,405.72
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),370,405.41
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),371,404.98
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),372,406.06
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),373,405.41
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),374,404.72
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),375,405.85
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),376,404.29
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),377,406.78
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),378,405.47
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),379,404.76
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),380,405.30
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),381,406.26
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),382,405.51
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),383,405.54
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),384,404.71
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),385,405.71
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),386,404.51
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),387,404.74
